observation_id,network_name,latitude,longitude,rssi_dbm,signal_std_dbm,distance_to_ap_m,connected_devices,avg_download_mbps,peak_usage_hours,frequency_mhz,timestamp
177,Network_B,13.083247,80.271156,-54.62,6.16,14.66,67,31.75,0,5000,2026-01-04 10:20:00
178,Network_D,13.081039,80.271565,-55.6,3.45,15.45,17,36.52,1,2400,2026-01-20 12:58:00
179,Network_B,13.081094,80.271341,-68.98,5.37,115.83,68,7.61,1,2400,2026-01-09 05:04:00
180,Network_D,13.08316,80.271799,-72.51,7.78,98.37,23,28.59,0,2400,2026-01-16 06:31:00
181,Network_B,13.083108,80.27103,-70.68,1.9,113.47,17,41.75,0,5000,2026-01-19 14:46:00
182,Network_A,13.082189,80.270428,-59.28,2.68,68.71,46,39.07,0,5000,2026-01-13 21:04:00
183,Network_D,13.08467,80.271386,-59.49,4.81,50.95,23,41.39,1,2400,2026-01-12 02:37:00
184,Network_D,13.083693,80.270931,-53.53,6.27,31.19,24,55.43,0,2400,2026-01-14 20:01:00
185,Network_B,13.081227,80.271604,-75.74,6.88,123.58,79,1.0,0,2400,2026-01-02 04:44:00
186,Network_A,13.082733,80.26989,-62.97,5.45,86.93,10,52.61,0,5000,2026-01-16 17:36:00
187,Network_D,13.083606,80.272667,-43.41,2.43,19.38,12,59.52,1,5000,2026-01-11 02:46:00
188,Network_C,13.081452,80.270122,-75.33,6.33,118.65,56,11.85,1,5000,2026-01-10 16:24:00
189,Network_B,13.083735,80.271414,-74.19,4.51,114.66,60,25.58,0,2400,2026-01-27 09:39:00
190,Network_D,13.083822,80.269569,-53.22,3.71,24.98,19,58.63,0,5000,2026-01-26 01:00:00
191,Network_B,13.083594,80.269117,-55.64,4.41,37.69,32,38.68,1,2400,2026-01-20 22:51:00
192,Network_C,13.082693,80.269008,-42.79,5.95,13.49,33,46.14,1,2400,2026-01-12 03:24:00
193,Network_D,13.08119,80.271642,-57.71,6.61,39.2,49,27.28,1,5000,2026-01-16 00:21:00
194,Network_A,13.081394,80.27125,-61.51,7.94,76.94,77,7.77,1,5000,2026-01-03 09:51:00
195,Network_A,13.081438,80.270149,-61.01,4.63,53.5,53,30.45,1,5000,2026-01-18 10:42:00
196,Network_B,13.081602,80.270208,-76.56,7.56,71.95,72,1.67,1,5000,2026-01-11 11:18:00
197,Network_C,13.082686,80.270447,-75.71,5.27,110.78,62,17.57,0,5000,2026-01-10 16:55:00
198,Network_A,13.084526,80.268976,-53.2,2.73,13.27,16,56.65,0,5000,2026-01-20 11:27:00
199,Network_B,13.082416,80.272079,-55.1,1.33,43.88,59,34.13,0,5000,2026-01-26 12:48:00
200,Network_C,13.082089,80.272299,-45.81,4.92,8.16,73,35.32,0,5000,2026-01-02 18:19:00
201,Network_D,13.081741,80.271623,-77.85,2.39,147.29,51,3.94,0,2400,2026-01-21 04:15:00
202,Network_D,13.082098,80.269156,-55.41,6.95,26.93,35,42.53,0,2400,2026-01-24 03:40:00
203,Network_B,13.082316,80.27087,-64.08,2.58,119.8,67,30.42,0,2400,2026-01-13 10:41:00
204,Network_B,13.0841,80.271376,-54.16,4.82,72.03,42,38.32,0,2400,2026-01-12 19:14:00
205,Network_D,13.083876,80.270689,-57.92,6.31,54.27,17,63.59,0,2400,2026-01-22 09:18:00
206,Network_B,13.081346,80.269722,-72.65,4.91,142.26,68,18.07,0,5000,2026-01-15 03:14:00
207,Network_D,13.08183,80.270263,-79.21,3.78,120.76,45,1.0,1,2400,2026-01-21 10:50:00
208,Network_D,13.081447,80.269076,-63.24,3.19,56.72,11,56.1,0,5000,2026-01-02 14:05:00
209,Network_D,13.082781,80.27049,-64.57,3.54,85.88,29,29.62,0,5000,2026-01-05 14:29:00
210,Network_A,13.083092,80.268834,-55.52,3.19,57.74,72,25.23,1,2400,2026-01-02 19:11:00
211,Network_A,13.083914,80.270721,-79.98,5.68,145.23,15,17.17,0,5000,2026-01-01 18:45:00
212,Network_B,13.08241,80.269349,-40.77,6.04,6.83,36,89.64,0,5000,2026-01-17 02:12:00
213,Network_C,13.08145,80.272133,-66.9,3.2,123.76,13,33.7,1,5000,2026-01-19 09:15:00
214,Network_A,13.082131,80.270677,-81.27,5.98,125.1,64,2.07,1,2400,2026-01-13 13:39:00
215,Network_B,13.082092,80.270501,-67.31,3.47,113.58,71,26.07,1,5000,2026-01-29 06:38:00
216,Network_C,13.083237,80.269205,-64.79,1.49,103.05,41,24.22,0,5000,2026-01-20 23:55:00
217,Network_A,13.084048,80.269817,-68.92,3.14,98.22,65,34.83,0,2400,2026-01-20 15:16:00
218,Network_A,13.083313,80.272453,-74.21,5.65,131.32,8,27.44,1,2400,2026-01-13 08:01:00
219,Network_D,13.082218,80.269607,-61.27,6.62,60.33,27,36.41,0,5000,2026-01-03 22:49:00
220,Network_B,13.08182,80.272133,-55.86,6.63,47.37,47,33.69,1,2400,2026-01-08 15:22:00
221,Network_D,13.084018,80.269826,-76.19,4.78,131.55,42,12.79,0,2400,2026-01-05 17:36:00
222,Network_D,13.081835,80.271998,-45.21,5.19,15.76,70,20.9,1,5000,2026-01-12 06:32:00
223,Network_A,13.083073,80.272269,-53.49,6.56,31.87,32,52.2,0,2400,2026-01-21 06:05:00
224,Network_B,13.082993,80.271335,-55.71,6.16,41.58,75,7.11,1,5000,2026-01-18 19:14:00
225,Network_A,13.080959,80.272523,-49.75,7.37,8.65,48,38.15,1,2400,2026-01-19 12:09:00
226,Network_D,13.082474,80.271128,-60.94,2.66,96.54,73,28.7,0,5000,2026-01-16 05:09:00
227,Network_D,13.082651,80.271309,-73.31,4.54,142.83,40,27.14,0,2400,2026-01-20 16:49:00
228,Network_A,13.080859,80.271116,-80.07,4.15,136.57,42,1.0,0,5000,2026-01-22 04:39:00
229,Network_A,13.082766,80.268722,-48.07,6.62,6.11,51,42.2,0,5000,2026-01-04 19:22:00
230,Network_B,13.084427,80.270288,-53.84,3.42,17.63,41,49.76,0,2400,2026-01-04 02:52:00
231,Network_D,13.083509,80.272671,-54.56,3.95,24.07,78,6.5,1,2400,2026-01-30 05:32:00
232,Network_D,13.083398,80.269887,-68.24,1.28,109.17,20,40.55,0,5000,2026-01-03 14:24:00
233,Network_C,13.083351,80.269069,-63.27,3.83,91.47,17,35.33,1,5000,2026-01-27 06:22:00
234,Network_A,13.083415,80.270148,-66.74,7.12,91.08,72,24.68,0,5000,2026-01-24 21:16:00
235,Network_B,13.084016,80.272665,-74.39,4.14,123.9,57,31.6,0,5000,2026-01-27 13:24:00
236,Network_A,13.083932,80.269564,-57.92,3.83,72.66,47,36.34,0,2400,2026-01-08 02:13:00
237,Network_B,13.083061,80.269605,-49.22,6.32,60.71,25,53.53,0,5000,2026-01-08 02:33:00
238,Network_C,13.083104,80.271522,-76.66,4.01,104.82,70,7.83,0,2400,2026-01-20 08:00:00
239,Network_C,13.081318,80.268802,-76.72,1.5,98.64,13,33.38,0,5000,2026-01-07 02:07:00
240,Network_A,13.082824,80.272067,-71.97,2.17,89.13,52,21.56,0,5000,2026-01-14 17:59:00
241,Network_C,13.082828,80.269243,-58.69,3.19,19.4,17,42.15,0,5000,2026-01-02 12:09:00
242,Network_A,13.082182,80.270199,-62.8,4.82,73.73,31,40.23,0,2400,2026-01-11 09:33:00
243,Network_D,13.080824,80.272583,-74.38,4.73,117.16,55,15.87,1,2400,2026-01-07 15:29:00
244,Network_D,13.083536,80.269409,-70.22,6.81,78.58,70,22.45,0,5000,2026-01-22 06:54:00
245,Network_D,13.084699,80.269302,-72.7,6.14,123.43,26,15.09,1,2400,2026-01-14 03:51:00
246,Network_D,13.08411,80.271544,-77.84,5.19,136.51,56,4.82,0,5000,2026-01-08 06:45:00
247,Network_A,13.083683,80.270897,-50.15,1.24,13.37,72,47.62,0,2400,2026-01-27 01:29:00
248,Network_D,13.081075,80.271718,-64.5,4.66,76.33,64,2.45,1,2400,2026-01-10 00:31:00
249,Network_A,13.082149,80.271603,-89.67,5.21,134.7,6,1.0,1,2400,2026-01-14 13:03:00
250,Network_C,13.081137,80.272116,-59.2,5.39,68.68,33,9.97,1,5000,2026-01-19 19:43:00
251,Network_B,13.083451,80.271591,-73.4,3.51,105.42,68,8.41,0,2400,2026-01-15 06:16:00
252,Network_B,13.080735,80.272691,-73.46,1.1,103.14,67,21.46,0,2400,2026-01-15 07:40:00
253,Network_D,13.084448,80.271988,-73.84,1.73,122.33,25,30.96,0,5000,2026-01-06 23:25:00
254,Network_C,13.080964,80.270095,-59.74,1.54,21.09,36,33.48,1,5000,2026-01-11 21:57:00
255,Network_D,13.081281,80.27154,-68.29,3.81,101.69,57,14.38,1,2400,2026-01-17 12:22:00
256,Network_A,13.084069,80.270896,-46.79,2.31,36.79,57,41.54,0,5000,2026-01-11 16:09:00
